id,slug,created_at
1,abkhazia,2026-03-17 13:13:35.905+00
2,armenia,2026-03-17 13:14:37.572+00
3,belarus,2026-03-17 13:14:41.306+00
4,china,2026-03-17 13:14:43.557+00
5,georgia,2026-03-17 13:15:58.347+00
6,maldives,2026-03-17 13:15:58.789+00
7,russia,2026-03-17 13:15:59.073+00
8,spain,2026-03-17 13:16:10.757+00
